bnf_code,actual_cost,predicted_cost,predicted_cost_AutoARIMA-lo-95,predicted_cost_AutoARIMA-hi-95
0103010N0AAAAAA,2962850.99062,1772661.8804687501,1600737.7528645834,1944585.9617187502
0103010N0AAABAB,2918574.35491,1453810.4536679331,1191460.7456133321,1716160.1617225343
0103030S0AAAAAA,1624892.41047,556932.954231102,217535.7520149347,896330.1516345615
0103030S0AAADAD,4555456.18817,2465271.6828012764,2135278.516294629,2795264.8164721983
0103050E0AAAAAA,4528365.03607,2605453.251964286,2215019.975,2995886.4328571428
0103050E0AAABAB,3199268.403809999,1748934.48,1515267.9104910714,1982601.0727678572
0103050E0AAAFAF,2166422.8325999994,1106540.493405884,1010166.3528262499,1202914.6339855178
0103050E0AAAGAG,1846980.2994799989,743576.6908399554,679343.5504908483,807809.7802559999
0103050E0BBAAAA,1093318.65336,548504.3191101563,509377.8466762416,587630.7867089843
0103050E0BBABAB,819373.22713,419585.7217626188,371509.5768458532,467661.8600958261
0103050L0AAAAAA,27162044.147860005,14220112.683559284,12924872.615381144,15515352.595174713
0103050L0AAABAB,13498017.513010003,6111915.988190714,5483014.310192143,6740818.068970285
0103050L0AAAGAG,1343821.22772,692611.0879464286,610822.6079241072,774399.5745535714
0103050L0AAAHAH,4608250.873500001,2369509.1785714286,2154142.4625,2584875.7580357143
0103050P0AAAAAA,91146824.53341001,44501723.96571428,41894006.53714286,47109441.39428571
0103050P0AAAEAE,3707127.6987699997,1845255.939901,1693085.1539882498,1997426.8803692497
0103050P0AAAFAF,3768853.7011200003,2235067.0767857144,2009774.6678571429,2460359.5160714285
0103050P0AAAMAM,1005583.8166599999,538425.5227141909,419707.5323894196,657143.513038962
0103050P0AAANAN,4426611.18709,2288115.4445196427,2090243.814632357,2485987.045302321
0103050P0AAAPAP,874632.1292000001,443591.4667542857,411723.9738076607,475458.9597009107
0103050P0AABDBD,1616535.1633100002,830161.6578860357,693370.2918375992,966953.0175260222
0103050P0AABEBE,911036.4225499998,447797.7594194464,410761.95034269977,484833.56849619304
0103050P0AABUBU,18752034.59626,9409327.6374,8804334.708916666,10014320.299733333
0103050P0AABVBV,14704586.195970004,6953579.182500001,6315259.428333334,7591898.5075
0103050P0BBAAAA,914258.9265,468815.3182700892,413170.8219072684,524459.8189975558
0103050R0AAAAAA,3863874.77157,1865807.2471428572,1686043.9901785715,2045570.5323214286
0103050R0AAABAB,4128189.6813300005,1655749.4180357142,1476019.7613392856,1835479.0074999998
0103050T0AAABAB,1829740.4659699996,1659656.6136607144,1223833.7742857144,2095479.4530357143
0104020L0AAAAAA,3285552.7646299996,1502053.4030666666,1377078.5143866665,1627028.2917466667
0104020L0AAADAD,1030146.5259699998,479856.26824450004,445792.74914143956,513919.791582225
0104020L0AAARAR,2624284.77182,1338894.2366792082,1160999.6052944167,1516788.8266930834
0105010B0AAAAAA,737176.1961899999,452551.3889043918,359839.37462782365,545263.4127465904
0105010B0AAAIAI,1181827.8280800001,595491.4956965838,525598.8331055006,665384.1492894925
0105010B0AAAJAJ,2335716.35305,1184424.2498133683,1075861.5719307172,1292987.0008940017
0105010B0AAAKAK,749138.2449599998,382530.595104,142626.81921806713,622434.3739468496
0105010B0AAALAL,627448.90563,309795.74802304467,268132.6110367143,351458.8771896027
0105010B0AAARAR,1345202.7092900001,675191.252201858,613402.650557556,736979.85384616
0105010B0AAASAS,1270948.90218,738676.015063192,618407.494826451,858944.535299933
0105010B0AAATAT,538957.51515,277899.70183466276,233330.94077221295,322468.4561481159
0105010B0AAAYAY,559278.25632,283956.1794657164,252955.78805035184,314956.55738308764
0105010B0BBAAAA,3080658.4529899997,1536416.546645692,741594.8141846987,2331238.3365004687
0105010B0BBAFAS,2993689.3033,1498380.2514874889,284153.44025221746,2712607.056744241
0105010B0BCACAI,6121814.38451,3085396.2489609,2854503.166483795,3316289.2954453076
0105010B0BCADAJ,1714139.2612699997,865256.0336577143,797160.1388340273,933351.9284814012
0105010B0BCAEAN,1495184.5308500002,751249.3092464993,691959.5644466281,810539.063044545
0105010B0BCAFAT,3468824.751769999,1719545.944614123,1572155.73995787,1866936.1492703762
0105010B0BCAGAY,5732435.243079999,2799621.1783148004,2569521.209469375,3029721.147160225
0105010B0BCAHBA,641735.18617,336654.96415142814,307590.30646573816,365719.6443337737
0105010B0BDADAL,1130719.6122,572236.2607694956,515577.1229430447,628895.3751366294
0105010B0BDAEAK,580487.54907,268076.627154,78566.12527545865,457587.1286629268
0105010B0BDAFAX,565423.40588,282768.7435877625,252595.04944578,312942.437729745
0105010B0BDAHAU,1223012.46625,610742.9337908528,557540.613656433,663945.2122189492
0105010B0BDAIAJ,678841.75054,359252.45681530284,326063.2596490935,392441.664819424
0105010B0BDAKAZ,2965459.53849,1387138.2132085208,1203597.989655238,1570678.3533491562
0105010B0BHAAAR,8246504.88735,4072410.470146083,3777973.6826716764,4366847.467158327
0105010B0BIAAAS,22068412.97388,10917368.8680326,9406272.806707934,12428464.719224233
0105010B0BIABAA,8078882.03469,3955584.9112758334,3352148.46708625,4559021.203251666
0105010B0BIACBD,1361791.52035,610869.2976334166,476693.45791853336,745045.1226733334
0105010C0AAAAAA,749950.22745,361297.5835027902,310995.5029267299,411599.6828964844
0105010C0AAADAD,1308137.3752,694433.8478466666,584821.1362761979,804046.5594171353
0105010D0AAABAB,1479374.4562499998,754599.5788631624,681988.7089365188,827210.4693386625
0105010E0AAAAAA,8818660.67069,6472549.818080356,5582312.2265625,7362787.409598214
0105010E0AAABAB,21181158.919879995,11465228.9125,9977978.8625,12952478.4125
0105010E0AAAPAP,598101.98168,225155.6496,66853.70917230469,383457.5806425
0105010E0BBABAB,1935020.7000399998,932287.5447037835,797525.20098974,1067049.8796049017
0105020A0AAAAAA,1067574.42322,533490.8118394305,466653.6367061473,600327.9924648493
0105020A0AAACAC,1721920.8953200001,842406.7732118999,776865.2093305313,907948.3370932688
0105020A0AAADAD,874325.81112,30114.50713257498,25451.197198618018,34777.81706653194
0105020A0BCABAD,699679.59165,348418.98952324,294057.1204439291,402780.855337479
0105020D0AAACAC,3954391.6206099996,152085.84421037947,117058.7863016183,187112.9021191406
0105020E0AAAAAA,5271456.41378,2694432.038341388,2238079.3721536435,3150784.7045291327
0105040A0AAAAAA,3519700.17273,1847453.5589206638,1431708.5476421795,2263198.5505138123
0106010E0AAADAD,3925731.5636600005,1954325.0621562998,1796235.43661285,2112414.68769975
0106010E0BBABAD,2150430.12467,1231632.89944755,1071419.0456660625,1391846.7159952126
0106020C0AAAAAA,2895390.4430900007,1610687.3805,1463799.23325,1757575.52775
0106020I0AAAIAI,3389626.78403,1795026.7592,1580794.4348666668,2009258.9461333333
0106020I0AAAKAK,10460705.93247,4952643.707988166,4396256.8150897,5509030.731400167
0106020L0AAACAC,1028138.64875,498930.49173500005,427217.7076583333,570643.2758116666
0106020M0AAACAC,5091169.480599999,2051158.2168756332,1858076.8486420834,2244239.49206365
0106020P0AAABAB,5408760.865330001,2694128.3861201694,2484396.767484993,2903859.9143950194
0106020V0AAABAB,850838.15205,381951.609293856,117364.93575623953,646538.282959976
0106040G0AAAAAA,7827159.30487,4118352.4008,3808003.8902399996,4428700.95888
0106040M0AAAAAA,14463428.531070001,7262738.68724895,6436293.921490917,8089183.457222133
0106040M0AAAJAJ,2651359.7906400003,1306501.8929499378,812424.751364367,1800579.076943791
0106040M0BBAAAA,2664952.43926,1345232.168954922,1156099.090248125,1534365.1971677344
0106040M0BBADAA,1921017.94268,976386.5338865604,846409.6343147302,1106363.441839904
0106040M0BBAIAB,3410922.8551400006,1738045.8777053999,1611961.1936564748,1864130.6472282
0106040M0BCACAA,18770444.144430004,10249080.0347815,8774406.335637126,11723754.315850751
0106040M0BCADAB,1727918.5642199996,882114.4706055417,742104.678916875,1022124.2255287333
0106040M0BGAAAA,1127979.91973,589987.413232025,536726.5343591854,643248.2434159792
0106040M0BGABAA,2603287.3118700003,1360715.92202595,1123874.349522675,1597557.4537827747
0106040M0BGACAA,1191629.9121800002,636060.9061064249,546150.7980110624,725971.0345750124
0106040M0BGADAB,749031.78866,403992.63112923334,344053.0599659833,463932.194955
0106040M0BGAFAA,1290542.3979600002,662190.4108429062,563810.9246187875,760569.8873292479
0106040N0AAAAAA,1271302.50586,740419.5082078718,633143.254469926,847695.7619458176
0106040N0AAABAB,5091958.02316,2587921.842293566,2242695.856852254,2933147.929930312
0106040N0BDAAAD,679949.59018,336337.514443125,293707.7016964365,378967.33682208986
0106040R0BBAAAF,712640.1104100001,340159.56319481443,306629.8819257233,373689.24877540884
0106060B0AAABAB,1415451.1135899997,772403.355089875,711760.1741109375,833046.4687435001
0106070A0AAAAAA,1869856.4099799998,873663.0616389331,771611.8474370358,975714.2758277627
0106070A0AAABAB,4828043.90887,2113718.026004799,1871318.0818820714,2356117.9029694824
0106070B0AAAAAA,2731285.6825499996,1296785.3255985936,1124896.58735254,1468674.004945453
0107020J0AAAEAE,543963.7684999998,260431.66779148753,217179.846640562,303683.49650919274
0107020J0BCABAC,409069.99506,161320.30276039065,141251.28165253752,181389.3190091125
0107020J0BEAAAE,471801.91578999977,237449.17864800003,67714.78069210867,407183.5788108688
0107020J0BFACAE,476985.7961600002,237631.03134231252,181730.38535398126,293531.67733064375
0107020P0BCAAAC,835059.4286899997,418093.3462502125,361446.6904865188,474739.98940748547
0107020P0BCABAD,269917.48467000003,138108.3086420833,121198.65268735416,155017.96645069792
0107040A0AAAIAI,2593499.4875400006,1300807.915545125,1126310.2036831249,1475305.6849263594
0107040A0BBABAI,651123.7710900002,307723.87755984376,264787.6720269102,350660.08788604685
0109010U0AAAAAA,1737004.96125,961255.3478946999,858972.6512557702,1063538.0445336297
0109010U0AAABAB,3217875.1831,1870552.0327083333,1725322.5996875,2015781.4242708331
0109010U0AAAYAY,1519791.37369,704664.2915400339,630627.0518652367,778701.5455848823
0109010U0AABKBK,2970694.93932,1513593.0631049997,1402291.4185,1624894.7779624998
0109010U0AABLBL,701225.67368,355646.81802,324155.9329190625,387137.70312093745
0109040N0BBADAE,698301.70761,0.0,0.0,0.0
0109040N0BDABAQ,35411885.802530006,0.0,0.0,0.0
0109040N0BDADAU,8319357.615540001,0.0,0.0,0.0
0109040N0BEACAZ,2217633.8208799995,0.0,0.0,0.0
0201010F0AAADAD,2566650.5722400006,1805157.5935714287,1707178.3800000001,1903136.827857143
0201010F0AAAEAE,4646337.497570001,2773446.8625,2618347.2975,2928546.4275
0201010F0AAAFAF,694161.5318799999,433535.07857142854,391861.7890625,475208.346875
0202010B0AAABAB,4638175.4746900005,2205770.748345786,1852398.6360232856,2559142.8606682857
0202010B0AAACAC,133586.09720000005,62999.431680375,55905.977040750004,70092.88556729464
0202010F0AAAAAA,834862.2129,422906.90941623435,369718.90413977654,476094.9469063906
0202010P0AAAAAA,4372118.7750699995,1971576.6476946427,1836177.8242026428,2106975.5002912497
0202010P0AAADAD,6365489.99366,3005618.980267667,2673718.884196667,3337519.076338667
0202010V0AAANAN,620513.886,0.0,0.0,0.0
0202020D0AAADAD,549269.80203,405891.99999999994,257065.98899739582,554718.0140625
0202020D0AAAEAE,6974672.990370001,4215132.2,3921405.5,4508858.9
0202020L0AABBBB,3213282.95585,1390788.2664556783,1294102.149159482,1487474.3956278926
0202020L0AABDBD,5838776.91664,2641145.9691149998,2454153.2272225,2828138.828095
0202030C0AAACAC,2345838.3602899997,1434513.642857143,1325320.388392857,1543706.8973214286
0202030S0AAATAT,4848840.478330001,2111675.6714285715,1889016.9428571428,2334334.4328571428
0202030S0AAAUAU,1551883.17669,805367.2056026785,738691.4489062501,872042.9622991071
0202030S0AAAVAV,1487297.159,667392.7751785713,613408.6451785713,721376.9051785714
0202030S0AAEGEG,4025440.27201,2179407.979462239,2040724.7019114152,2318091.257033971
0202030X0AAAAAA,8387023.13939,4502185.985178572,4262878.290982143,4741493.449732143
0202030X0AAABAB,694803.09309,357886.7615625,319361.0553125,396412.46964285715
0202040B0AAAAAA,1376611.07339,426768.9095493682,384269.07445640734,469268.73829660483
0202040C0AAAAAA,470134.28677999997,204744.1548800223,162938.77107700892,246549.5295172991
0202040C0AAABAB,705928.2718600001,357355.5675389229,282942.60182879405,431768.5273711548
0203020D0AAABAB,482104.7216299999,220202.48428942857,206467.57056271427,233937.39801614283
0203020I0AAADAD,649706.33867,302437.5161666667,283925.23101041664,320949.79815625004
0203020I0AAAKAK,873981.88902,421138.2314712333,388239.8401087208,454036.6228337458
0203020P0AAANAN,946818.78498,443293.4465148926,204803.3890899658,681783.475354004
0203020X0AAAAAA,1196606.89576,623727.3371625,571576.2170589843,675878.4572660156
020400080AAABAB,348309.95584999997,161984.75105174998,147740.76437616962,176228.74324716962
020400080AAAEAE,264845.69164,126088.69565066964,115451.77694076562,136725.61270880356
020400080AAAFAF,545869.16501,247342.57343750002,230159.1262276786,264526.0235267857
0204000ABAAAAAA,1298473.0642800003,441231.3113392857,403027.0903794643,479435.52111607144
0204000ABAAABAB,2247375.28128,1290504.695357143,1074550.0125892856,1506459.4072098215
0204000ABAAACAC,510981.11387999996,195488.66802315848,151408.4470172991,239568.89296037945
0204000ABAAADAD,2089418.7832800003,1211009.0000792143,911352.342470777,1510665.6873136642
0204000E0AAABAB,3224441.6086700005,3669730.153214286,3087012.336964286,4252448.0125
0204000E0AAACAC,689105.37033,276934.2354910714,239921.4446875,313947.0262946429
0204000E0AAAGAG,1926125.0646200003,1256458.6157142858,1103648.6947321428,1409268.665357143
0204000H0AAAAAA,5196751.871650001,2487060.789530357,2284778.8773026783,2689342.726848214
0204000H0AAABAB,1838372.8239499999,852555.6495480714,802203.5270499284,902907.7720462142
0204000H0AAAJAJ,13064505.545859998,5319025.085714285,4797247.060714286,5840803.05
0204000H0AAAKAK,1107743.6786400003,509556.1929815089,454020.1684493125,565092.2175137054
0204000H0AAALAL,823313.5873200004,368054.1746031786,340107.1866499107,396001.1625564464
0204000H0AAAMAM,5711067.37104,2552462.7959924997,2290880.0710799997,2814045.4740699995
0204000K0AAABAB,1001979.1886799999,509876.87973214284,396698.11910714285,623055.6354464286
0204000K0AABNBN,2289012.6068700003,2227542.471746086,1430284.6839704085,3024800.1516235415
0204000R0AAAAAA,7361599.96096,3641903.961618214,3443564.572019196,3840243.309818437
0204000R0AAABAB,1395380.8224900002,709045.882546857,658301.8805640355,759789.8845296784
0204000R0AAAHAH,4504690.762980001,1984429.3204902853,1745332.5534494282,2223526.0875311424
0204000R0AAAJAJ,5058451.291560001,2255425.5779824997,1994881.512865,2515969.6899349997
0204000R0AAAKAK,269262.88070000004,115380.51207296873,104051.44902718748,126709.5780459375
0204000R0AACWCW,739050.72586,357831.787342315,305552.7584886319,410110.82700317446
0204000R0AACXCX,965129.67197,462310.7799882656,399324.9950140837,525296.5584816544
0204000R0AADBDB,693173.29053,318353.7592128673,263904.69255981146,372802.8213951321
0204000T0AAABAB,413946.47238,200207.24450228573,185318.97168921874,215095.51911348215
0204000T0AAACAC,414165.49294,200075.93856535712,184050.04464771427,216101.82846857142
0204000V0AAAAAA,661373.09571,350379.9173546354,300736.242404644,400023.5923046268
0205010J0AAAGAG,503034.05131,283893.08749999997,259746.63638392856,308039.54598214285
0205020H0AAACAC,608523.42337,309403.07906152273,271265.4929020574,347540.6619573047
0205020H0AAADAD,982767.3922799999,469635.2958321875,413386.6458722545,525883.9457921205
0205020M0AAAAAA,1456578.6966199998,762653.4432142857,707353.2946428572,817953.5917857143
0205020M0AAACAC,477935.93195,247799.93042714283,221972.99318881694,273626.8820923214
0205040D0AAAAAA,1103360.6032600002,490213.66524107143,434652.83371478575,545774.4907457143
0205040D0AAABAB,2334985.1851500003,1043400.3226341428,938635.9728981429,1148164.6844134287
0205040D0AAACAC,5527943.720000001,2545362.35474175,2351011.0465176427,2739713.6358684637
0205040D0AAAQAQ,1167689.82856,583794.2592075893,383686.458844866,783902.08203125
0205040D0AAARAR,860109.6579899999,438386.2663367143,118075.3410615505,758697.193160576
0205040D0AABBBB,3628682.128970001,1925632.6953829355,1748056.2906921273,2103209.060389444
0205051F0AADZDZ,614979.70519,301607.98042515124,255864.20270632976,347351.76950621686
0205051F0AAEAEA,884578.56629,483691.2491971359,403451.23589428526,563931.2624999866
0205051I0AAAAAA,1281538.36442,727431.6439285714,546426.1669642857,908437.0925
0205051I0AAABAB,284027.43867,514455.0207589286,454184.0517857143,574725.9692410715
0205051I0AAACAC,526065.1319300001,1128289.7209821427,1016591.5513392857,1239987.9241071427
0205051I0AAADAD,714002.54765,326076.22236475,297069.7689204375,355082.67200371873
0205051L0AAAAAA,691087.4575499997,313048.5432318214,292061.87741624995,334035.2090473928
0205051L0AAABAB,1584414.3891699996,839307.3,767038.9857142858,911575.6142857143
0205051L0AAACAC,2640337.2646800005,1218265.0325525356,1139263.8050674284,1297266.260037643
0205051L0AAADAD,3756552.2020600005,1726244.3798196428,1616570.9489716073,1835917.8257217857
0205051L0AAAQAQ,1178794.93928,532562.0231250001,333426.493125,731697.5325
0205051M0AAAAAA,1209444.62456,603131.844,557950.6905,648312.987
0205051M0AAABAB,2770068.55748,1257894.5875,1155703.575,1360085.6
0205051M0AAAFAF,3983279.5633099996,1702568.552666667,1582579.2546666667,1822557.8506666666
0205051R0AAAAAA,4488378.63554,2012025.642588,1806585.1869927857,2217466.0078585716
0205051R0AAABAB,11120574.92849,4919048.809047786,4404587.440575071,5433510.042368071
0205051R0AAACAC,10930983.318959998,5036873.868635,4624283.543506357,5449464.193763643
0205051R0AAADAD,14383156.967309998,6663744.87284,6271993.852552,7055495.893127999
0205051R0AAAKAK,379148.97915999993,170916.3668073817,148213.24430319644,193619.4942041518
0205051R0AAALAL,1011951.0585699998,453312.77018392854,410784.9802308036,495840.55595535715
0205051R0AAAMAM,975972.6583400003,478198.01267858926,429237.6338551428,527158.4003672322
0205051R0AAANAN,927200.7485100002,510700.4925,453788.6041071429,567612.3691071429
0205051R0AAATAT,2069631.5756500002,947459.5970583332,786549.84409375,1108369.3756666668
0205052AEAAAAAA,23363280.614260007,12405953.350878377,11778670.357303314,13033237.301643752
0205052AEAAABAB,27464873.692030005,12606979.0144245,10058740.93418803,15155216.424627751
0205052AEAAACAC,27262857.42785,14677721.845799062,13845051.846738,15510391.270545937
0205052AEBBAAAA,6873756.773889998,3249166.7221410936,2565419.6702756016,3932913.797936344
0205052AEBBABAB,8315041.930599999,3905701.0209305156,3195136.009133344,4616265.937008657
0205052AEBBACAC,8147153.832369998,4396892.3709573755,4161850.4609617502,4631934.328812516
0205052B0AAABAB,284885.0994400001,622395.1799999999,580647.204375,664143.155625
0205052B0AAACAC,274621.47847999993,213094.27285714285,195386.2359375,230802.31879464287
0205052C0AAAAAA,2800108.0586099993,2283286.05,2032759.3178571428,2533812.80625
0205052C0AAABAB,6029230.100710001,2784092.952705714,2568858.1631962853,2999327.619775071
0205052C0AAACAC,3484316.716670001,1635928.94004,1516215.439058,1755642.459756
0205052C0AAADAD,3060629.308360001,1378884.1472639998,1277542.246419,1480226.0481089999
0205052C0AAAHAH,1628136.6918899997,787107.8093513213,735835.097424107,838380.4975264999
0205052I0AAAAAA,388389.5501999998,176208.27559946425,164576.32517247766,187840.23491255578
0205052I0AAABAB,874622.1804699997,396331.9466199642,367055.3187038035,425608.57453612494
0205052I0AAACAC,1112528.4461300005,471649.9860711429,439435.50649275,503864.46564953576
0205052N0AAAAAA,2538417.88157,1795961.1776785715,1647826.3076785714,1944096.0476785717
0205052N0AAABAB,5064144.056809999,4194038.158571429,3893383.298928572,4494693.018214286
0205052N0AAADAD,5938157.22847,3722130.4475,3462782.1574999997,3981478.6425
0205052N0AAAHAH,1189667.9155,1328605.6332589285,1233343.6758482144,1423867.590669643
0205052Q0AAABAB,392416.0432100001,240056.14285714284,223422.0125892857,256690.27312499998
0205052V0AAAAAA,663622.1792399999,335269.125,152046.77375139509,518491.4715401786
0205052V0AAABAB,1369276.5391800005,701448.3293303571,609366.3238392858,793530.3348214286
0205052V0AAACAC,1464798.1900600002,904175.3328571429,695214.1135714285,1113136.6007142856
0206010F0AACGCG,792712.1342399993,2267.3028667384983,2053.742232530002,2480.8635792086047
0206010F0AACICI,3126735.3951800005,12003.50788888889,10200.369949652777,13806.645828124998
0206010K0AAABAB,725886.01195,364952.5334188928,344107.7826713571,385797.28416642855
0206010K0AAACAC,423936.4724099999,191011.471756875,178695.80455499998,203327.13895875
0206010K0AAAEAE,4188944.9675600003,2186103.2444999996,1713486.6418617186,2658719.8690921874
0206010K0AAAHAH,1022183.8040499996,529960.3170173147,488848.2351211451,571072.399979817
0206010K0AAAPAP,433831.51738000015,238141.1068947143,219014.07493449998,257268.13885492855
0206010K0AAAQAQ,587683.0362000002,284061.51247109374,253209.3175301194,314913.7120432969
0206010K0CDAAAE,1091590.92368,475224.4576713414,288356.8287488102,662092.093890933
0206010K0CNAAAE,3958436.90787,1988229.5149829371,1873743.221934107,2102715.8372200085
0206020A0AAAAAA,18273380.114529993,8273016.246169714,7421683.749517714,9124348.831139142
0206020A0AAABAB,12764246.938409999,5763318.596397713,5167240.263348142,6359396.929447285
0206020A0AAALAL,1108347.66466,534849.69135051,472505.2191787857,597194.2004926126
0206020A0AAAVAV,1943119.690120001,1017932.8613748569,953145.668662857,1082720.0647919998
0206020C0AAAAAA,623756.3279200001,293187.7051193512,263884.7231208125,322490.69187805435
0206020C0BBAAAA,954869.0429400001,501017.3579632445,455284.3956608278,546750.3461550084
0206020C0BBABAC,686144.7952100001,341275.7441014788,256718.0113382154,425833.4844649754
0206020C0BBACAS,515202.80347000004,258109.56462027342,194630.82002681922,321588.3054763365
0206020C0BBADAE,892067.19155,440879.9339598818,395673.10728506866,486086.7512154236
0206020C0BBAEAX,1031869.3585500002,550737.0785035,495508.86233104917,605965.2946759509
0206020C0BFACAT,1033345.8545299999,451742.9864348214,345313.2903975446,558172.6824720982
0206020C0BFADAU,708720.6502700001,356735.26744488283,318893.49157992186,394577.0531891015
0206020C0BFAEAV,553950.0532399999,284467.20748625,265513.34423773433,303421.0707347656
0206020C0BFAFAE,791648.8965700001,393015.59672390297,312476.0234311674,473555.1604614621
0206020C0BFAGAU,1460489.4335399999,739013.3143351965,633910.6839875826,844115.963793163
0206020C0BFAHAV,1301913.93592,654391.7945077779,575977.3452372712,732806.2546193326
0206020C0BFAIAW,1507875.06892,763516.6267718571,674928.6257147143,852104.627829
0206020C0BMABAU,463621.35854,232406.84754927456,211079.57906787947,253734.100087952
0206020F0AAABAB,6281778.040909999,3202517.111003357,2983431.298063018,3421602.7621120443
0206020F0AAACAC,5711006.29548,2930415.357494857,2738732.860453571,3122097.854536143
0206020F0AAADAD,6882910.765630001,3536406.394568571,3271793.990449285,3801018.7986878566
0206020K0AAAAAA,1251057.7038200002,590381.9714285715,515030.8857142857,665733.0428571429
0206020K0AAABAB,1316086.5928699998,774941.62,715850.9167857142,834032.3232142858
0206020L0AAAAAA,7745322.378280001,4717646.13625,4454545.65625,4980746.48375
0206020L0AAABAB,12753578.608369995,7833387.252321429,7386272.398839286,8280502.459821429
0206020R0AAAAAA,5040158.567830002,2949319.060772,2439961.225612729,3458676.8959312704
0206020R0AAABAB,2590023.5431600004,1416010.2216367356,1291940.6356313773,1540079.7649506903
0206020R0AAAEAE,687576.84152,359825.48807645927,322396.8112338086,397254.1745683744
0206020R0AAARAR,642788.10288,334270.5749422645,288232.72491105075,380308.4328612031
0206020R0BGAAAH,528107.86722,266291.82461126667,247035.82432354742,285547.83809572295
0206020R0BGACBE,803649.65554,413556.9172328572,375272.18056912505,451841.65389658936
0206020R0BGADBF,875851.8033100001,449443.5672877813,399063.122347904,499824.01222765853
0206020R0CBAAAE,729916.93552,361862.9302775195,325310.19436846033,398415.6565373142
0206020R0CBABAR,559706.5579600001,274017.1226865357,256710.36314612554,291323.895373154
0206020T0AAAFAF,408956.51264,192522.7932154286,179308.6226323393,205736.96379851789
0206020T0AAAHAH,713846.0785599999,360175.8917866909,316063.6251452093,404288.16132922436
0206020T0AAAUAU,1222691.9028800002,612542.3329836999,571624.5704120492,653460.0955553504
0206020T0BDAGAU,622341.4587400001,304650.4980833789,282805.99649070704,326495.0117663806
0206030N0AAAAAA,1018819.4473999998,1620288.8325,1435390.2,1805187.4425
0206030N0AAABAB,717919.4744199999,1333647.6373541667,1146965.3655833332,1520329.8924791666
0206030Y0AAAAAA,6979101.9912,3879830.9360714285,3526044.5048660715,4233617.367276786
0206030Y0AAABAB,436147.50663,335230.7592857143,313129.873125,357331.64544642856
0206030Y0AAACAC,5172695.902520001,2636874.115714286,2008396.4391964287,3265351.7922321428
0206030Z0AAAAAA,18269300.45741999,8760851.758377355,7537407.657023376,9984295.955313765
0206030Z0AAABAB,11829782.82653,5652342.076560159,4824566.124280626,6480117.933257263
0206030Z0AAACAC,5980372.84443,2849095.528091413,2427231.054864044,3270960.0013187816
