bnf_code,actual_cost,predicted_cost,predicted_cost_AutoARIMA-lo-95,predicted_cost_AutoARIMA-hi-95
0101012B0AAABAB,1242095.38256,634302.21584031,475277.99885539507,793326.432825225
0101021B0AAALAL,2129638.12316,991207.1850772479,894060.231411712,1088354.1771100159
0101021B0BEADAJ,4124719.0681900005,2994132.847950833,2621793.3021825,3366472.318470933
0101021B0BEAIAL,4663788.798039998,5324192.735096053,4778068.215368266,5870317.198372053
0101021B0BEAQAP,995081.32825,1201341.7895273438,760788.11468,1641895.5353589845
0101021B0BEBEAL,6278209.99594,5938033.11277376,5147610.753704733,6728455.3805457605
0101021B0BIAAAH,881819.2725099996,444915.985904064,336917.936467278,552914.046525048
0101021B0BIABAH,1323967.3108100002,690931.2103667039,504657.41592341196,877205.042090656
0101021B0BQADAL,605486.8287100001,260072.49073382397,150007.02268224,370137.95878540794
0102000A0AAAAAA,374498.84752,221077.226,201968.849675,240185.60232499999
0102000J0AAAAAA,732875.82908,348503.1544382007,261386.42382071193,435619.88505568955
0102000J0AAABAB,2198164.97332,1117980.035961789,989468.0219463438,1246492.049977234
0102000J0AAACAC,1623526.63939,824265.539330124,732224.1151122295,916307.00302846
0102000L0AAAAAA,3512103.3928,1893887.6783239688,1683984.4083397582,2103791.0554542188
0102000L0AAACAC,5175925.17171,2703113.4821521924,2353657.9358850755,3052569.1254885052
0102000L0AABNBN,10542122.49005,5058318.852122597,4558456.159006435,5558181.3016733425
0102000L0AABQBQ,2743339.5906499997,1390782.2043340001,1213817.505682,1567746.92172
0102000L0BCAABQ,3148304.96498,1468121.551726,1285805.429772,1650437.654946
0102000N0AAAAAA,593930.62116,299524.64986549923,259394.6953883578,339654.5923997156
0102000N0AAABAB,7123067.642430001,6176046.713571428,5527590.888482142,6824501.785357143
0102000N0BBAAAB,1914926.0378100001,1656092.0183854874,1428603.231986606,1883580.7610521873
0102000P0AAAAAA,3157475.53417,1643359.57183125,1428253.0133072915,1858466.0641239583
0102000P0AAABAB,8351291.924139999,4554369.8326,4213994.629,4894745.0362
0102000P0AAADAD,1443551.28734,954040.1043333333,877304.4038750001,1030775.8047916666
0102000T0AAAAAA,2181317.96796,1067866.9502746668,995967.2213961905,1139766.6595270475
0102000T0AAAFAF,1300658.43673,672560.58765742,615270.3496662176,729850.8256486225
0102000T0BBAAAF,877497.7856500001,575974.1908770219,528646.6218838125,623301.7533426031
0102000X0AAAAAA,930089.01685,499031.6035823249,264316.3760980922,733746.8145425844
0102000X0BCAAAA,1097522.6617300003,605618.5167359249,335451.4770335,875785.5564383499
0102000Y0AAAFAF,1261179.28536,543364.1121552511,400772.2225987743,685956.0369451339
0103010D0AAABAB,700720.3931,246385.51199142705,204040.4551818281,288730.5855347812
0103010H0AAAAAA,43533378.67079002,25062468.882142857,23792046.37142857,26332891.739285715
0103010H0AAABAB,20108506.728979997,11491754.661160715,8478144.05625,14505364.779910713
